player_id,player_name,position,jersey_num,team_id,team_name,join_date
p40511,Denis Petric,Goalkeeper,1,t2128,Angers,2016-01-02
p119744,Mathieu Michel,Goalkeeper,1,t2128,Angers,2016-08-18
p85577,Alexandre Letellier,Goalkeeper,30,t2128,Angers,2010-07-01
p174272,Anthony Mandrea,Goalkeeper,40,t2128,Angers,2016-07-01
p218123,Maxime Sivis,Defender,Unknown,t2128,Angers,2016-07-01
p180299,Gabriel Mutombo Kupa,Defender,Unknown,t2128,Angers,2014-02-27
p58309,Yoann Andreu,Defender,3,t2128,Angers,2015-07-01
p68545,Mateo Pavlovic,Defender,4,t2128,Angers,2016-07-01
p42416,Ismael Traoré,Defender,8,t2128,Angers,2015-07-01
p93622,Pablo Martinez,Defender,21,t2128,Angers,2016-07-01
p45505,Romain Thomas,Defender,24,t2128,Angers,2013-07-01
p57266,Abdoulaye Bamba,Defender,25,t2128,Angers,2017-01-01
p213575,Mehdi Tahrat,Defender,26,t2128,Angers,2016-08-31
p96195,Issa Cissokho,Defender,28,t2128,Angers,2017-01-31
p54518,Vincent Manceau,Defender,29,t2128,Angers,2008-08-01
p212600,Mathias Serin,Midfielder,Unknown,t2128,Angers,2015-07-01
p18574,Thomas Mangani,Midfielder,5,t2128,Angers,2015-02-02
p15304,Grégory Bourillon,Midfielder,6,t2128,Angers,2016-01-25
p220994,Aissa Laidouni,Midfielder,13,t2128,Angers,2015-07-01
p112580,Pierrick Capelle,Midfielder,15,t2128,Angers,2015-07-01
p168109,Cheikh N'Doye,Midfielder,17,t2128,Angers,2015-07-01
p168985,Baptiste Santamaría,Midfielder,18,t2128,Angers,2016-07-01
p154011,Flavien Tait,Midfielder,20,t2128,Angers,2016-07-01
p195883,Jonathan Bamba,Midfielder,22,t2128,Angers,2017-01-04
p44485,Jamel Saihi,Midfielder,23,t2128,Angers,2016-08-31
p52002,Goran Karanoviç,Forward,Unknown,t2128,Angers,2015-08-02
p80485,Kévin Berigaud,Forward,2,t2128,Angers,2017-01-03
p193454,Karl Toko Ekambi,Forward,7,t2128,Angers,2016-07-01
p149535,Famara Diedhiou,Forward,9,t2128,Angers,2016-07-01
p66589,Gilles Sunu,Forward,10,t2128,Angers,2015-07-01
p66757,Dickson Nwakaeme,Forward,11,t2128,Angers,2016-07-01
p216646,Yoane Wissa,Forward,12,t2128,Angers,2016-07-01
p81118,Férébory Doré,Forward,12,t2128,Angers,2015-08-03
p79870,Billy Ketkeophomphone,Forward,14,t2128,Angers,2015-07-01
p195735,Nicolas Pepe,Forward,19,t2128,Angers,2014-07-01
p83542,Thomas Vincensini,Goalkeeper,1,t139,Bastia,2009-07-01
p44136,Jean-Louis Leca,Goalkeeper,16,t139,Bastia,2013-07-19
p110143,Paul Charruau,Goalkeeper,30,t139,Bastia,2016-07-29
p16718,Alexis Thébaux,Goalkeeper,30,t139,Bastia,2017-01-31
p218507,Fodé Camara,Defender,Unknown,t139,Bastia,2016-09-30
p173242,Ismael Chester Diallo,Defender,Unknown,t139,Bastia,2015-07-01
p106884,Nicolas Saint-Ruf,Defender,3,t139,Bastia,2017-01-24
p50301,Abdelhamid El Kaoutari,Defender,4,t139,Bastia,2016-08-10
p13439,Sébastien Squillaci,Defender,5,t139,Bastia,2013-07-16
p82725,Lindsay Rose,Defender,17,t139,Bastia,2017-01-11
p48469,Pierre Bengtsson,Defender,20,t139,Bastia,2016-08-29
p143685,Alexander Djiku,Defender,23,t139,Bastia,2012-07-01
p37755,Florian Marange,Defender,28,t139,Bastia,2014-08-01
p44140,Gilles Cioni,Defender,29,t139,Bastia,2010-08-23
p243741,Hugo Magnetti,Midfielder,Unknown,t139,Bastia,2016-11-18
p250588,Sami Ben Amar,Midfielder,Unknown,t139,Bastia,2017-03-10
p81028,Sadio Diallo,Midfielder,2,t139,Bastia,2015-07-01
p85351,Jerson Cabral,Midfielder,7,t139,Bastia,2016-07-12
p6751,Gaël Danic,Midfielder,8,t139,Bastia,2015-01-31
p170137,Allan Saint-Maximin,Midfielder,10,t139,Bastia,2016-07-29
p176983,Lyes Houri,Midfielder,10,t139,Bastia,2015-02-02
p105718,Lenny Nangis,Midfielder,11,t139,Bastia,2016-07-29
p146668,Abdoulaye Keita,Midfielder,12,t139,Bastia,2012-07-01
p51498,Mehdi Mostefa,Midfielder,14,t139,Bastia,2015-08-27
p40808,Prince Oniangué,Midfielder,15,t139,Bastia,2017-01-16
p44138,Yannick Cahuzac,Midfielder,18,t139,Bastia,2005-07-01
p121596,Axel Ngando,Midfielder,19,t139,Bastia,2015-08-31
p114531,Farid Boulaya,Midfielder,22,t139,Bastia,2016-08-31
p215047,Lassana Coulibaly,Midfielder,25,t139,Bastia,2015-07-01
p232170,Geoffrey Acheampong,Forward,Unknown,t139,Bastia,2016-07-01
p102765,Florian Raspentino,Forward,9,t139,Bastia,2015-08-31
p178492,Enzo Crivelli,Forward,27,t139,Bastia,2016-08-03
p200889,Julien Romain,Forward,27,t139,Bastia,2014-07-01
p200848,Paul Bernardoni,Goalkeeper,Unknown,t140,Bordeaux,2016-07-01
p6244,Cédric Carrasso,Goalkeeper,16,t140,Bordeaux,2009-07-01
p181439,Jerome Prior,Goalkeeper,30,t140,Bordeaux,2013-07-01
p433830,Over Mandanda,Goalkeeper,40,t140,Bordeaux,2016-07-01
p174892,Milan Gajic,Defender,2,t140,Bordeaux,2015-07-25
p59340,Diego Contento,Defender,3,t140,Bordeaux,2014-08-11
p210228,Vukasin Jovanovic,Defender,4,t140,Bordeaux,2017-01-31
p220325,Jules Koundé,Defender,4,t140,Bordeaux,2015-12-09
p82313,Nicolas Pallois,Defender,5,t140,Bordeaux,2014-06-30
p71797,Igor Lewczuk,Defender,6,t140,Bordeaux,2016-08-31
p12488,Jérémy Toulalan,Defender,14,t140,Bordeaux,2016-07-01
p164474,Youssouf Sabaly,Defender,20,t140,Bordeaux,2016-08-03
p199375,Cédric Yambéré,Defender,21,t140,Bordeaux,2014-10-25
p176443,Théo Pellenard,Defender,21,t140,Bordeaux,2013-12-12
p116504,Pablo,Defender,25,t140,Bordeaux,2015-08-31
p203368,Frederic Guilbert,Defender,26,t140,Bordeaux,2015-01-23
p424120,Olivier Verdon,Defender,26,t140,Bordeaux,2017-04-27
p121524,Maxime Poundjé,Defender,29,t140,Bordeaux,2012-07-01
p203151,Kevin Soni,Midfielder,Unknown,t140,Bordeaux,2015-01-20
p171222,Mauro Arambarri,Midfielder,8,t140,Bordeaux,2016-01-31
p172870,Younes Kaabouni,Midfielder,12,t140,Bordeaux,2013-10-06
p48768,Younousse Sankharé,Midfielder,13,t140,Bordeaux,2017-01-31
p49878,Abdou Traoré,Midfielder,15,t140,Bordeaux,2007-10-01
p218005,Adam Ounas,Midfielder,17,t140,Bordeaux,2015-07-01
p12057,Jaroslav Plasil,Midfielder,18,t140,Bordeaux,2009-07-09
p195982,Valentín Vada,Midfielder,23,t140,Bordeaux,2014-07-01
p213247,Daniel Mancini,Midfielder,28,t140,Bordeaux,2017-01-06
p244182,Zaydou Youssouf,Midfielder,28,t140,Bordeaux,2016-07-01
p148011,Diego Rolan,Forward,Unknown,t140,Bordeaux,2013-01-31
p242768,Jorris Romil,Forward,Unknown,t140,Bordeaux,2016-07-01
p181092,Malcom,Forward,7,t140,Bordeaux,2016-01-31
p19500,Jérémy Ménez,Forward,7,t140,Bordeaux,2016-07-31
p176441,Thomas Touré,Forward,10,t140,Bordeaux,2013-12-12
p193512,François Kamano,Forward,11,t140,Bordeaux,2016-07-27
p18575,Nicolas Maurice-Belay,Forward,19,t140,Bordeaux,2011-06-24
p167443,Gaetan Laborde,Forward,24,t140,Bordeaux,2014-07-01
p178492,Enzo Crivelli,Forward,27,t140,Bordeaux,2014-01-01
p9997,Rémy Vercoutre,Goalkeeper,1,t1028,Caen,2014-06-16
p218071,Louis Deschateaux,Goalkeeper,16,t1028,Caen,2015-07-01
p45032,Matthieu Dreyer,Goalkeeper,40,t1028,Caen,2016-08-08
p120770,Paul Reulet,Goalkeeper,40,t1028,Caen,2012-07-01
p205823,Florian Le Joncour,Defender,3,t1028,Caen,2015-07-01
p12845,Alaeddine Yahia,Defender,5,t1028,Caen,2014-10-01
p83724,Syam Ben Youssef,Defender,13,t1028,Caen,2015-07-01
p50326,Emmanuel Imorou,Defender,15,t1028,Caen,2014-06-30
p119691,Jordan Adeoti,Defender,18,t1028,Caen,2014-06-30
p37995,Mouhamadou Dabo,Defender,23,t1028,Caen,2016-07-01
p203368,Frederic Guilbert,Defender,24,t1028,Caen,2016-10-25
p44287,Damien Da Silva,Defender,28,t1028,Caen,2014-06-30
p44357,Romain Genevois,Defender,29,t1028,Caen,2016-07-08
p94181,Chaker Alhadhur,Defender,32,t1028,Caen,2015-07-01
p7103,Nicolas Seube,Midfielder,2,t1028,Caen,2001-07-01
p97443,Ismael Diomande,Midfielder,4,t1028,Caen,2016-07-01
p86281,Jonathan Delaplace,Midfielder,6,t1028,Caen,2015-07-03
p6596,Steed Malbranque,Midfielder,10,t1028,Caen,2016-07-01
p42761,Vincent Bessat,Midfielder,11,t1028,Caen,2015-07-01
p199666,Jean-Victor Makengo,Midfielder,17,t1028,Caen,2015-07-01
p119628,Jordan N'Kololo,Midfielder,17,t1028,Caen,2015-07-01
p227763,Durel Avounou,Midfielder,18,t1028,Caen,2016-07-01
p213335,Jordan Leborgne,Midfielder,19,t1028,Caen,2015-07-14
p45082,Julien Féret,Midfielder,25,t1028,Caen,2014-06-16
p215789,Valentin Voisin,Midfielder,33,t1028,Caen,2015-07-01
p89179,Jeff Louis,Midfielder,34,t1028,Caen,2015-07-21
p420962,Jordan Tell,Forward,Unknown,t1028,Caen,2017-04-01
p248687,Exauce Ngassaki,Forward,Unknown,t1028,Caen,2017-02-20
p184095,Yann Karamoh,Forward,7,t1028,Caen,2015-12-07
p50996,Ronny Rodelin,Forward,10,t1028,Caen,2016-07-26
p119768,Christian Kouakou,Forward,13,t1028,Caen,2016-02-01
p58616,Herve Bazile,Forward,20,t1028,Caen,2014-06-30
p60319,Ivan Santini,Forward,26,t1028,Caen,2016-08-04
p154481,Pape Sane,Forward,35,t1028,Caen,2016-01-31
p75987,Benjamin Leroy,Goalkeeper,1,t2130,Dijon,2016-07-01
p151065,Enzo Basilio,Goalkeeper,16,t2130,Dijon,2012-07-01
p110369,Bobby Allain,Goalkeeper,16,t2130,Dijon,2016-08-14
p93619,Baptiste Reynet,Goalkeeper,30,t2130,Dijon,2015-07-01
p121111,Ádám Lang,Defender,2,t2130,Dijon,2016-08-31
p44082,Arnold Bouka Moutou,Defender,3,t2130,Dijon,2016-07-01
p44312,Jordan Loties,Defender,4,t2130,Dijon,2016-01-30
p241398,Oussama Haddadi,Defender,5,t2130,Dijon,2017-01-30
p228170,Valentin Rosier,Defender,19,t2130,Dijon,2016-07-01
p106263,Yunis Abdelhamid,Defender,21,t2130,Dijon,2016-07-01
p100955,Vincent Rüfli,Defender,23,t2130,Dijon,2016-08-04
p119679,Fouad Chafik,Defender,26,t2130,Dijon,2016-07-01
p13939,Cedric Varrault,Defender,27,t2130,Dijon,2011-07-01
p193425,Jessy Benet,Midfielder,Unknown,t2130,Dijon,2014-07-31
p216702,Erwan Maury,Midfielder,Unknown,t2130,Dijon,2015-07-01
p120811,Anthony Belmonte,Midfielder,3,t2130,Dijon,2015-07-01
p228169,Guillaume Sarrabayrouse,Midfielder,6,t2130,Dijon,2016-07-01
p54413,Frederic Sammaritano,Midfielder,7,t2130,Dijon,2015-07-01
p98746,Mehdi Abeid,Midfielder,8,t2130,Dijon,2016-08-31
p212325,Pierre Lees-Melou,Midfielder,8,t2130,Dijon,2015-07-01
p135290,Jeremie Bela,Midfielder,10,t2130,Dijon,2014-01-23
p51634,Marvin Martin,Midfielder,13,t2130,Dijon,2016-07-14
p153014,Jordan Marié,Midfielder,14,t2130,Dijon,2013-01-01
p8747,Florent Balmont,Midfielder,15,t2130,Dijon,2016-07-08
p86158,Romain Amalfitano,Midfielder,20,t2130,Dijon,2014-07-01
p154770,Kwon Chang-Hoon,Midfielder,22,t2130,Dijon,2017-01-18
p192278,Dylan Bahamboula,Midfielder,24,t2130,Dijon,2016-07-05
p111911,Charly Dutournier,Forward,Unknown,t2130,Dijon,2015-07-01
p208747,Mamadou Thiam,Forward,Unknown,t2130,Dijon,2014-07-01
p44406,Yohann Riviere,Forward,7,t2130,Dijon,2014-09-01
p147577,Lois Diony,Forward,9,t2130,Dijon,2014-01-30
p111265,Júlio Tavares,Forward,11,t2130,Dijon,2012-07-30
p44429,Johny Placide,Goalkeeper,Unknown,t428,Guingamp,2017-02-16
p61741,Karl-Johan Johnsson,Goalkeeper,1,t428,Guingamp,2016-07-01
p212887,Theo Guivarch,Goalkeeper,16,t428,Guingamp,2015-07-01
p37836,Romain Salin,Goalkeeper,30,t428,Guingamp,2016-07-12
p129478,Jordan Ikoko,Defender,2,t428,Guingamp,2016-07-01
p111291,Marçal,Defender,3,t428,Guingamp,2016-08-18
p67100,Benjamin Angoua,Defender,4,t428,Guingamp,2014-07-01
p102744,Baissama Sankoh,Defender,6,t428,Guingamp,2011-07-27
p78319,Dorian Lévêque,Defender,7,t428,Guingamp,2010-07-01
p42714,Jérémy Sorbon,Defender,15,t428,Guingamp,2013-07-01
p28140,Jonathan Martins Pereira,Defender,22,t428,Guingamp,2015-12-16
p42722,Reynald Lemaître,Defender,25,t428,Guingamp,2013-01-03
p102739,Christophe Kerbrat,Defender,29,t428,Guingamp,2011-07-27
p249455,Yvan Inzoudine,Midfielder,Unknown,t428,Guingamp,2017-01-01
p423870,Matteo Ahlinvi,Midfielder,Unknown,t428,Guingamp,2017-05-18
p206873,Jonathan Correia,Midfielder,Unknown,t428,Guingamp,2016-07-17
p39905,Moustapha Diallo,Midfielder,5,t428,Guingamp,2009-06-16
p213940,Ludovic Blas,Midfielder,7,t428,Guingamp,2015-07-01
p45084,Lucas Deaux,Midfielder,8,t428,Guingamp,2016-07-01
p89038,Nicolas Benezet,Midfielder,10,t428,Guingamp,2015-07-03
p55343,Yannis Salibur,Midfielder,19,t428,Guingamp,2014-01-04
p12179,Étienne Didot,Midfielder,22,t428,Guingamp,2016-07-01
p201562,Marcus Coco,Midfielder,24,t428,Guingamp,2014-12-16
p44100,Thibault Giresse,Midfielder,26,t428,Guingamp,2009-07-01
p26896,Mathieu Bodmer,Midfielder,27,t428,Guingamp,2017-01-23
p220001,Jeremy Livolant,Midfielder,31,t428,Guingamp,2015-07-01
p189542,Alexandre Mendy,Forward,9,t428,Guingamp,2016-07-01
p49367,Sloan Privat,Forward,11,t428,Guingamp,2016-07-01
p54533,Nill de Pauw,Forward,12,t428,Guingamp,2015-06-18
p223169,Sullivan Martinet,Forward,14,t428,Guingamp,2015-07-01
p172918,Karim Achahbar,Forward,14,t428,Guingamp,2014-01-01
p27675,Jimmy Briand,Forward,23,t428,Guingamp,2015-08-03
p13262,Vincent Enyeama,Goalkeeper,Unknown,t429,Lille,2011-07-01
p129487,Mike Maignan,Goalkeeper,16,t429,Lille,2015-08-18
p201559,Jean Butez,Goalkeeper,30,t429,Lille,2014-12-16
p244753,Valentin Vanbaleghem,Defender,Unknown,t429,Lille,2016-12-13
p209171,Carlens Arcus,Defender,Unknown,t429,Lille,2016-07-01
p37439,Marko Basa,Defender,Unknown,t429,Lille,2011-06-23
p39804,Julian Palmieri,Defender,Unknown,t429,Lille,2016-07-02
p60121,Sébastien Corchia,Defender,2,t429,Lille,2014-07-01
p180124,Youssouf Kone,Defender,3,t429,Lille,2014-02-02
p168097,Júnior Alonso,Defender,3,t429,Lille,2017-01-26
p226597,Gabriel,Defender,4,t429,Lille,2017-01-31
p103155,Adama Soumaoro,Defender,5,t429,Lille,2011-08-02
p80342,Stoppila Sunzu,Defender,13,t429,Lille,2016-07-08
p12656,Franck Beria,Defender,18,t429,Lille,2007-05-26
p232174,Hamza Mendyl,Defender,27,t429,Lille,2016-07-01
p161039,Fares Bahlouli,Midfielder,Unknown,t429,Lille,2017-01-31
p213942,Alexis Araujo,Midfielder,Unknown,t429,Lille,2015-07-01
p51634,Marvin Martin,Midfielder,Unknown,t429,Lille,2012-06-21
p83913,Éric Bautheac,Midfielder,Unknown,t429,Lille,2015-06-25
p128348,Ibrahim Amadou,Midfielder,6,t429,Lille,2015-07-15
p242600,Xeka,Midfielder,8,t429,Lille,2017-01-31
p178003,Ricardo Kishna,Midfielder,10,t429,Lille,2017-01-31
p109653,Rony Lopes,Midfielder,17,t429,Lille,2016-01-07
p245634,Valere Pollet,Midfielder,17,t429,Lille,2017-01-01
p103119,Soualiho Meité,Midfielder,17,t429,Lille,2013-01-28
p227127,Yves Bissouma,Midfielder,21,t429,Lille,2016-07-07
p18787,Rio Mavuba,Midfielder,24,t429,Lille,2008-01-22
p98788,Naim Sliti,Midfielder,27,t429,Lille,2016-08-31
p232175,Rominigue Kouame,Midfielder,29,t429,Lille,2016-07-01
p52635,Éder,Forward,Unknown,t429,Lille,2016-07-01
p114534,Junior Tallo,Forward,Unknown,t429,Lille,2015-07-15
p105718,Lenny Nangis,Forward,Unknown,t429,Lille,2015-08-31
p157728,Baptiste Guillaume,Forward,Unknown,t429,Lille,2015-07-18
p193488,Anwar El Ghazi,Forward,7,t429,Lille,2017-01-31
p116628,Yassine Benzia,Forward,10,t429,Lille,2015-08-31
p73879,Nicolas de Preville,Forward,12,t429,Lille,2016-08-11
p230337,Lebo Mothiba,Forward,18,t429,Lille,2016-07-13
p232176,Martin Terrier,Forward,28,t429,Lille,2016-07-01
p220059,Anthony Lamonge,Goalkeeper,Unknown,t694,Lorient,2015-07-01
p54409,Paul Delecroix,Goalkeeper,16,t694,Lorient,2016-07-01
p86873,Benjamin Lecomte,Goalkeeper,40,t694,Lorient,2010-08-05
p168117,Yoann Wachter,Defender,Unknown,t694,Lorient,2013-07-01
p198188,Erwin Koffi,Defender,2,t694,Lorient,2015-07-01
p227217,Bradley Mazikou,Defender,3,t694,Lorient,2015-07-01
p54408,Zargo Toure,Defender,5,t694,Lorient,2015-08-31
p202967,Faiz Selemani,Defender,11,t694,Lorient,2016-07-01
p37740,Michael Ciani,Defender,13,t694,Lorient,2016-09-08
p82725,Lindsay Rose,Defender,14,t694,Lorient,2016-07-01
p141017,Steven Moreira,Defender,20,t694,Lorient,2016-08-30
p57129,Mathieu Peybernes,Defender,23,t694,Lorient,2017-01-11
p85565,Wesley Lautoa,Defender,24,t694,Lorient,2012-02-01
p67278,Vincent Le Goff,Defender,25,t694,Lorient,2014-07-17
p57734,Pape Paye,Defender,29,t694,Lorient,2015-07-01
p227300,Ibrahima Sory Conté,Defender,32,t694,Lorient,2016-07-01
p242166,Matteo Guendouzi,Midfielder,4,t694,Lorient,2016-10-01
p51524,Francois Bellugou,Midfielder,6,t694,Lorient,2014-08-31
p27674,Arnold Mvuemba,Midfielder,7,t694,Lorient,2016-09-06
p166325,Cafú,Midfielder,8,t694,Lorient,2016-07-01
