player_id,player_name,total_playing_time
p40511,Denis Petric,0 days 07:52:00.000000000
p119744,Mathieu Michel,0 days 23:27:00.000000000
p85577,Alexandre Letellier,0 days 00:00:00.000000000
p174272,Anthony Mandrea,0 days 00:00:00.000000000
p218123,Maxime Sivis,0 days 00:00:00.000000000
p180299,Gabriel Mutombo Kupa,0 days 00:00:00.000000000
p58309,Yoann Andreu,0 days 23:46:00.000000000
p68545,Mateo Pavlovic,0 days 11:55:00.000000000
p42416,Ismael Traoré,1 days 00:46:00.000000000
p93622,Pablo Martinez,0 days 08:31:00.000000000
p45505,Romain Thomas,1 days 05:42:00.000000000
p57266,Abdoulaye Bamba,0 days 00:00:00.000000000
p213575,Mehdi Tahrat,0 days 00:10:00.000000000
p96195,Issa Cissokho,0 days 00:00:00.000000000
p54518,Vincent Manceau,1 days 02:19:00.000000000
p212600,Mathias Serin,0 days 00:00:00.000000000
p18574,Thomas Mangani,0 days 21:17:00.000000000
p15304,Grégory Bourillon,0 days 00:55:00.000000000
p220994,Aissa Laidouni,0 days 00:00:00.000000000
p112580,Pierrick Capelle,0 days 19:19:00.000000000
p168109,Cheikh N'Doye,1 days 05:42:00.000000000
p168985,Baptiste Santamaría,1 days 01:58:00.000000000
p154011,Flavien Tait,0 days 00:11:00.000000000
p195883,Jonathan Bamba,0 days 00:00:00.000000000
p44485,Jamel Saihi,0 days 07:14:00.000000000
p52002,Goran Karanoviç,0 days 00:00:00.000000000
p80485,Kévin Berigaud,1 days 01:40:00.000000000
p193454,Karl Toko Ekambi,1 days 01:19:00.000000000
p149535,Famara Diedhiou,0 days 23:00:00.000000000
p66589,Gilles Sunu,0 days 11:53:00.000000000
p66757,Dickson Nwakaeme,0 days 01:35:00.000000000
p216646,Yoane Wissa,0 days 00:16:00.000000000
p81118,Férébory Doré,0 days 01:19:00.000000000
p79870,Billy Ketkeophomphone,0 days 06:05:00.000000000
p195735,Nicolas Pepe,0 days 12:04:00.000000000
p83542,Thomas Vincensini,0 days 07:51:00.000000000
p44136,Jean-Louis Leca,2 days 22:40:00.000000000
p110143,Paul Charruau,0 days 04:24:00.000000000
p16718,Alexis Thébaux,0 days 00:00:00.000000000
p218507,Fodé Camara,0 days 00:00:00.000000000
p173242,Ismael Chester Diallo,0 days 00:00:00.000000000
p106884,Nicolas Saint-Ruf,1 days 05:00:00.000000000
p50301,Abdelhamid El Kaoutari,0 days 03:37:00.000000000
p13439,Sébastien Squillaci,1 days 11:22:00.000000000
p82725,Lindsay Rose,0 days 07:49:00.000000000
p48469,Pierre Bengtsson,2 days 05:12:00.000000000
p143685,Alexander Djiku,1 days 02:17:00.000000000
p37755,Florian Marange,2 days 00:21:00.000000000
p44140,Gilles Cioni,2 days 01:18:00.000000000
p243741,Hugo Magnetti,0 days 00:00:00.000000000
p250588,Sami Ben Amar,0 days 00:00:00.000000000
p81028,Sadio Diallo,1 days 11:25:00.000000000
p85351,Jerson Cabral,0 days 13:27:00.000000000
p6751,Gaël Danic,1 days 16:50:00.000000000
p170137,Allan Saint-Maximin,2 days 03:11:00.000000000
p176983,Lyes Houri,0 days 00:00:00.000000000
p105718,Lenny Nangis,1 days 05:55:00.000000000
p146668,Abdoulaye Keita,1 days 07:43:00.000000000
p51498,Mehdi Mostefa,2 days 07:55:00.000000000
p40808,Prince Oniangué,0 days 00:00:00.000000000
p44138,Yannick Cahuzac,2 days 10:14:00.000000000
p121596,Axel Ngando,0 days 06:21:00.000000000
p114531,Farid Boulaya,0 days 00:00:00.000000000
p215047,Lassana Coulibaly,2 days 04:09:00.000000000
p232170,Geoffrey Acheampong,0 days 00:17:00.000000000
p102765,Florian Raspentino,0 days 09:36:00.000000000
p178492,Enzo Crivelli,2 days 12:11:00.000000000
p200889,Julien Romain,0 days 00:00:00.000000000
p200848,Paul Bernardoni,0 days 00:00:00.000000000
p6244,Cédric Carrasso,0 days 22:07:00.000000000
p181439,Jerome Prior,1 days 23:15:00.000000000
p433830,Over Mandanda,0 days 00:00:00.000000000
p174892,Milan Gajic,0 days 16:37:00.000000000
p59340,Diego Contento,2 days 03:12:00.000000000
p210228,Vukasin Jovanovic,0 days 00:00:00.000000000
p220325,Jules Koundé,0 days 00:00:00.000000000
p82313,Nicolas Pallois,2 days 18:07:00.000000000
p71797,Igor Lewczuk,1 days 16:15:00.000000000
p12488,Jérémy Toulalan,1 days 17:37:00.000000000
p164474,Youssouf Sabaly,2 days 18:15:00.000000000
p199375,Cédric Yambéré,0 days 00:00:00.000000000
p176443,Théo Pellenard,0 days 01:37:00.000000000
p116504,Pablo,0 days 00:00:00.000000000
p203368,Frederic Guilbert,1 days 07:24:00.000000000
p424120,Olivier Verdon,0 days 00:00:00.000000000
p121524,Maxime Poundjé,0 days 15:10:00.000000000
p203151,Kevin Soni,0 days 00:00:00.000000000
p171222,Mauro Arambarri,0 days 01:19:00.000000000
p172870,Younes Kaabouni,0 days 00:00:00.000000000
p48768,Younousse Sankharé,2 days 04:29:00.000000000
p49878,Abdou Traoré,0 days 03:24:00.000000000
p218005,Adam Ounas,1 days 06:00:00.000000000
p12057,Jaroslav Plasil,2 days 17:13:00.000000000
p195982,Valentín Vada,0 days 16:19:00.000000000
p213247,Daniel Mancini,0 days 00:00:00.000000000
p244182,Zaydou Youssouf,0 days 11:50:00.000000000
p148011,Diego Rolan,1 days 04:34:00.000000000
p242768,Jorris Romil,0 days 00:00:00.000000000
p181092,Malcom,1 days 18:19:00.000000000
p19500,Jérémy Ménez,1 days 17:43:00.000000000
p176441,Thomas Touré,0 days 09:42:00.000000000
p193512,François Kamano,1 days 03:30:00.000000000
p18575,Nicolas Maurice-Belay,0 days 00:00:00.000000000
p167443,Gaetan Laborde,1 days 08:21:00.000000000
p178492,Enzo Crivelli,2 days 12:11:00.000000000
p9997,Rémy Vercoutre,1 days 14:55:00.000000000
p218071,Louis Deschateaux,0 days 00:00:00.000000000
p45032,Matthieu Dreyer,0 days 07:55:00.000000000
p120770,Paul Reulet,0 days 03:30:00.000000000
p205823,Florian Le Joncour,0 days 00:00:00.000000000
p12845,Alaeddine Yahia,1 days 13:36:00.000000000
p83724,Syam Ben Youssef,0 days 13:39:00.000000000
p50326,Emmanuel Imorou,0 days 12:55:00.000000000
p119691,Jordan Adeoti,1 days 06:20:00.000000000
p37995,Mouhamadou Dabo,0 days 02:31:00.000000000
p203368,Frederic Guilbert,1 days 07:24:00.000000000
p44287,Damien Da Silva,2 days 00:45:00.000000000
p44357,Romain Genevois,0 days 20:16:00.000000000
p94181,Chaker Alhadhur,0 days 00:00:00.000000000
p7103,Nicolas Seube,0 days 16:13:00.000000000
p97443,Ismael Diomande,0 days 11:45:00.000000000
p86281,Jonathan Delaplace,1 days 12:14:00.000000000
p6596,Steed Malbranque,0 days 09:16:00.000000000
p42761,Vincent Bessat,1 days 12:39:00.000000000
p199666,Jean-Victor Makengo,0 days 11:45:00.000000000
p119628,Jordan N'Kololo,0 days 00:00:00.000000000
p227763,Durel Avounou,0 days 00:00:00.000000000
p213335,Jordan Leborgne,0 days 01:33:00.000000000
p45082,Julien Féret,1 days 13:16:00.000000000
p215789,Valentin Voisin,0 days 00:00:00.000000000
p89179,Jeff Louis,0 days 00:00:00.000000000
p420962,Jordan Tell,0 days 00:00:00.000000000
p248687,Exauce Ngassaki,0 days 00:00:00.000000000
p184095,Yann Karamoh,1 days 02:23:00.000000000
p50996,Ronny Rodelin,1 days 23:39:00.000000000
p119768,Christian Kouakou,0 days 00:00:00.000000000
p58616,Herve Bazile,0 days 11:35:00.000000000
p60319,Ivan Santini,1 days 15:32:00.000000000
p154481,Pape Sane,0 days 08:25:00.000000000
p75987,Benjamin Leroy,0 days 17:11:00.000000000
p151065,Enzo Basilio,0 days 00:00:00.000000000
p110369,Bobby Allain,0 days 00:00:00.000000000
p93619,Baptiste Reynet,3 days 12:23:00.000000000
p121111,Ádám Lang,1 days 21:54:00.000000000
p44082,Arnold Bouka Moutou,0 days 20:20:00.000000000
p44312,Jordan Loties,0 days 21:57:00.000000000
p241398,Oussama Haddadi,0 days 00:00:00.000000000
p228170,Valentin Rosier,0 days 00:00:00.000000000
p106263,Yunis Abdelhamid,1 days 20:32:00.000000000
p100955,Vincent Rüfli,1 days 17:40:00.000000000
p119679,Fouad Chafik,2 days 23:34:00.000000000
p13939,Cedric Varrault,2 days 16:02:00.000000000
p193425,Jessy Benet,0 days 00:00:00.000000000
p216702,Erwan Maury,0 days 00:00:00.000000000
p120811,Anthony Belmonte,0 days 01:25:00.000000000
p228169,Guillaume Sarrabayrouse,0 days 00:00:00.000000000
p54413,Frederic Sammaritano,1 days 11:49:00.000000000
p98746,Mehdi Abeid,2 days 08:56:00.000000000
p212325,Pierre Lees-Melou,1 days 09:49:00.000000000
p135290,Jeremie Bela,0 days 11:38:00.000000000
p51634,Marvin Martin,0 days 00:58:00.000000000
p153014,Jordan Marié,1 days 23:59:00.000000000
p8747,Florent Balmont,1 days 05:41:00.000000000
p86158,Romain Amalfitano,0 days 20:11:00.000000000
p154770,Kwon Chang-Hoon,0 days 00:00:00.000000000
p192278,Dylan Bahamboula,1 days 02:04:00.000000000
p111911,Charly Dutournier,0 days 00:00:00.000000000
p208747,Mamadou Thiam,0 days 00:00:00.000000000
p44406,Yohann Riviere,0 days 05:37:00.000000000
p147577,Lois Diony,2 days 14:52:00.000000000
p111265,Júlio Tavares,2 days 04:37:00.000000000
p44429,Johny Placide,0 days 00:00:00.000000000
p61741,Karl-Johan Johnsson,3 days 08:38:00.000000000
p212887,Theo Guivarch,0 days 03:40:00.000000000
p37836,Romain Salin,0 days 01:36:00.000000000
p129478,Jordan Ikoko,3 days 00:13:00.000000000
p111291,Marçal,3 days 00:38:00.000000000
p67100,Benjamin Angoua,0 days 21:20:00.000000000
p102744,Baissama Sankoh,1 days 02:12:00.000000000
p78319,Dorian Lévêque,0 days 00:00:00.000000000
p42714,Jérémy Sorbon,3 days 08:42:00.000000000
p28140,Jonathan Martins Pereira,0 days 08:11:00.000000000
p42722,Reynald Lemaître,0 days 00:00:00.000000000
p102739,Christophe Kerbrat,3 days 11:49:00.000000000
p249455,Yvan Inzoudine,0 days 00:00:00.000000000
p423870,Matteo Ahlinvi,0 days 00:00:00.000000000
p206873,Jonathan Correia,0 days 00:00:00.000000000
p39905,Moustapha Diallo,1 days 13:46:00.000000000
p213940,Ludovic Blas,1 days 04:13:00.000000000
p45084,Lucas Deaux,3 days 05:03:00.000000000
p89038,Nicolas Benezet,0 days 00:00:00.000000000
p55343,Yannis Salibur,2 days 13:29:00.000000000
p12179,Étienne Didot,1 days 03:32:00.000000000
p201562,Marcus Coco,2 days 09:58:00.000000000
p44100,Thibault Giresse,0 days 09:25:00.000000000
p26896,Mathieu Bodmer,0 days 14:30:00.000000000
p220001,Jeremy Livolant,0 days 00:00:00.000000000
p189542,Alexandre Mendy,0 days 12:28:00.000000000
p49367,Sloan Privat,0 days 18:39:00.000000000
p54533,Nill de Pauw,0 days 15:41:00.000000000
p223169,Sullivan Martinet,0 days 00:00:00.000000000
p172918,Karim Achahbar,0 days 00:00:00.000000000
p27675,Jimmy Briand,2 days 18:12:00.000000000
p13262,Vincent Enyeama,2 days 21:14:00.000000000
p129487,Mike Maignan,0 days 00:00:00.000000000
p201559,Jean Butez,0 days 00:00:00.000000000
p244753,Valentin Vanbaleghem,0 days 00:00:00.000000000
p209171,Carlens Arcus,0 days 00:00:00.000000000
p37439,Marko Basa,1 days 12:52:00.000000000
p39804,Julian Palmieri,1 days 12:36:00.000000000
p60121,Sébastien Corchia,2 days 21:06:00.000000000
p180124,Youssouf Kone,0 days 00:00:00.000000000
p168097,Júnior Alonso,0 days 00:00:00.000000000
p226597,Gabriel,0 days 00:00:00.000000000
p103155,Adama Soumaoro,2 days 08:01:00.000000000
p80342,Stoppila Sunzu,0 days 05:10:00.000000000
p12656,Franck Beria,1 days 06:27:00.000000000
p232174,Hamza Mendyl,0 days 00:00:00.000000000
p161039,Fares Bahlouli,0 days 00:00:00.000000000
p213942,Alexis Araujo,0 days 00:00:00.000000000
p51634,Marvin Martin,0 days 00:58:00.000000000
p83913,Éric Bautheac,0 days 13:18:00.000000000
p128348,Ibrahim Amadou,2 days 12:07:00.000000000
p242600,Xeka,0 days 00:00:00.000000000
p178003,Ricardo Kishna,0 days 00:00:00.000000000
p109653,Rony Lopes,1 days 13:12:00.000000000
p245634,Valere Pollet,0 days 00:00:00.000000000
p103119,Soualiho Meité,0 days 00:00:00.000000000
p227127,Yves Bissouma,0 days 14:47:00.000000000
p18787,Rio Mavuba,0 days 20:30:00.000000000
p98788,Naim Sliti,1 days 06:15:00.000000000
p232175,Rominigue Kouame,0 days 00:00:00.000000000
p52635,Éder,2 days 05:00:00.000000000
p114534,Junior Tallo,0 days 00:00:00.000000000
p105718,Lenny Nangis,1 days 05:55:00.000000000
p157728,Baptiste Guillaume,0 days 00:00:00.000000000
p193488,Anwar El Ghazi,0 days 00:00:00.000000000
p116628,Yassine Benzia,0 days 22:59:00.000000000
p73879,Nicolas de Preville,0 days 22:40:00.000000000
p230337,Lebo Mothiba,0 days 00:00:00.000000000
p232176,Martin Terrier,0 days 03:22:00.000000000
p220059,Anthony Lamonge,0 days 00:00:00.000000000
p54409,Paul Delecroix,0 days 15:31:00.000000000
p86873,Benjamin Lecomte,1 days 12:00:00.000000000
p168117,Yoann Wachter,0 days 00:00:00.000000000
p198188,Erwin Koffi,0 days 11:40:00.000000000
p227217,Bradley Mazikou,0 days 00:00:00.000000000
p54408,Zargo Toure,1 days 16:32:00.000000000
p202967,Faiz Selemani,0 days 01:46:00.000000000
p37740,Michael Ciani,1 days 09:36:00.000000000
p82725,Lindsay Rose,0 days 07:49:00.000000000
p141017,Steven Moreira,1 days 21:20:00.000000000
p57129,Mathieu Peybernes,2 days 22:55:00.000000000
p85565,Wesley Lautoa,1 days 00:00:00.000000000
p67278,Vincent Le Goff,2 days 02:07:00.000000000
p57734,Pape Paye,0 days 00:00:00.000000000
p227300,Ibrahima Sory Conté,0 days 00:00:00.000000000
p242166,Matteo Guendouzi,0 days 10:57:00.000000000
p51524,Francois Bellugou,0 days 22:57:00.000000000
p27674,Arnold Mvuemba,1 days 14:21:00.000000000
p166325,Cafú,1 days 01:17:00.000000000
p218357,Alexis Claude Maurice,0 days 00:00:00.000000000
p202459,Marvin Gakpa,0 days 00:00:00.000000000
p227326,Mohamed Mara,0 days 18:00:00.000000000
p67346,Walid Mesloub,0 days 21:11:00.000000000
p150172,Romain Philippoteaux,0 days 14:17:00.000000000
p87215,Alhassan Wakaso,0 days 00:00:00.000000000
p227218,Issam Ben Khemis,0 days 00:34:00.000000000
p216227,Denis Bouanga,0 days 00:00:00.000000000
p151912,Jimmy Cabot,0 days 07:49:00.000000000
p62226,Maxime Barthelme,0 days 07:51:00.000000000
p37939,Sylvain Marveaux,0 days 15:33:00.000000000
p82184,Majeed Waris,1 days 17:43:00.000000000
p73678,Benjamin Moukandjo,1 days 06:40:00.000000000
p11839,Jérémie Aliadière,0 days 02:13:00.000000000
p73667,Benjamin Jeannot,0 days 02:14:00.000000000
p193408,Valentin Lavigne,0 days 00:00:00.000000000
p242167,Pierre-Yves Hamel,0 days 01:36:00.000000000
p59957,Anthony Lopes,2 days 21:26:00.000000000
p213402,Lucas Mocio,0 days 00:00:00.000000000
p59956,Mathieu Gorgelin,0 days 00:00:00.000000000
p44488,Mapou Yanga-Mbiwa,1 days 19:13:00.000000000
p52775,Nicolas Nkoulou,1 days 04:42:00.000000000
p54772,Rafael,1 days 13:02:00.000000000
p208135,Mouctar Diakhaby,1 days 23:12:00.000000000
p38265,Christophe Jallet,0 days 06:50:00.000000000
p37832,Jérémy Morel,2 days 06:28:00.000000000
p234458,Jordy Gaspar,0 days 11:48:00.000000000
p173211,Emanuel Mammana,1 days 02:55:00.000000000
p202888,Dylan Mboumbouni,0 days 00:00:00.000000000
p165572,Olivier Kemen,0 days 02:04:00.000000000
p55305,Clément Grenier,0 days 01:53:00.000000000
p231961,Houssem Aouar,0 days 00:00:00.000000000
p168568,Corentin Tolisso,2 days 04:48:00.000000000
p115858,Rachid Ghezzal,1 days 08:49:00.000000000
p107641,Jordan Ferri,0 days 22:33:00.000000000
p169007,Sergi Darder,1 days 03:52:00.000000000
p59963,Maxime Gonalons,2 days 02:11:00.000000000
p37852,Mathieu Valbuena,1 days 02:18:00.000000000
p203349,Lucas Tousart,0 days 21:02:00.000000000
p71389,Maciej Rybus,1 days 03:55:00.000000000
p219873,Romain Del Castillo,0 days 00:00:00.000000000
p59966,Alexandre Lacazette,2 days 00:03:00.000000000
p106824,Memphis Depay,0 days 00:00:00.000000000
p208556,Myziane Maolida,0 days 00:00:00.000000000
p166552,Nabil Fekir,1 days 09:08:00.000000000
p231747,Jean-Philippe Mateta,0 days 00:17:00.000000000
p220560,Gaetan Perrin,0 days 06:24:00.000000000
p213401,Aldo Kalulu,0 days 01:53:00.000000000
p149519,Maxwel Cornet,1 days 05:20:00.000000000
p240084,Alan Dzabana,0 days 00:00:00.000000000
p107254,Julien Fabri,0 days 00:00:00.000000000
p102836,Brice Samba,0 days 04:51:00.000000000
p37769,Yohann Pelé,2 days 19:21:00.000000000
p208134,Florian Escales,0 days 00:00:00.000000000
p216289,Brice Nlate,0 days 00:00:00.000000000
p107259,Baptiste Aloe,0 days 00:00:00.000000000
p194142,Stephane Sparagna,0 days 00:00:00.000000000
p132227,Gaël Andonian,0 days 00:00:00.000000000
p109404,Hiroki Sakai,2 days 12:17:00.000000000
p116736,Doria,1 days 16:50:00.000000000
p103040,Karim Rekik,1 days 07:14:00.000000000
p39294,Rolando,1 days 06:24:00.000000000
p44324,Henri Bedimo,1 days 05:59:00.000000000
p102760,Bouna Sarr,1 days 01:38:00.000000000
p14075,Patrice Evra,0 days 00:00:00.000000000
p13356,Rod Fanni,1 days 17:22:00.000000000
p49181,Tomas Hubocan,1 days 12:27:00.000000000
p202416,Alphousseyni Sane,0 days 00:00:00.000000000
p226944,Boubacar Kamara,0 days 00:00:00.000000000
p121117,Lucas Ocampos,0 days 00:00:00.000000000
p28566,Abou Diaby,0 days 02:10:00.000000000
p66957,Rémy Cabella,1 days 06:10:00.000000000
p122775,Morgan Sanson,2 days 22:50:00.000000000
p37901,Dimitri Payet,0 days 00:00:00.000000000
p40815,William Vainqueur,1 days 17:31:00.000000000
p56995,Grégory Sertic,2 days 05:51:00.000000000
p210415,Zinedine Machach,0 days 14:09:00.000000000
p169427,Saif-Eddine Khaoui,0 days 03:54:00.000000000
p175077,Bill Poni Tuiloma,0 days 00:00:00.000000000
p95434,Florian Thauvin,2 days 04:16:00.000000000
p213965,Maxime Lopez,1 days 01:13:00.000000000
p203325,André-Frank Zambo Anguissa,0 days 23:46:00.000000000
p145212,Clinton N'Jie,0 days 23:47:00.000000000
p37998,Bafétimbi Gomis,2 days 06:26:00.000000000
p185727,Aaron Leya Iseka,0 days 06:22:00.000000000
p221456,Antoine Rabillard,0 days 00:21:00.000000000
p194300,Jérémie Porsan-Clemente,0 days 00:00:00.000000000
p165457,Thomas Didillon,2 days 23:07:00.000000000
p19739,Eiji Kawashima,0 days 00:00:00.000000000
p83280,David Oberhauser,0 days 06:16:00.000000000
p242205,Lemouya Goudiaby,0 days 00:00:00.000000000
p423869,Theodore Efouba Ayissi,0 days 00:00:00.000000000
p219145,Oumar Gonzalez,0 days 00:00:00.000000000
p193518,Mederic Deher,0 days 00:00:00.000000000
p221987,Matthieu Udol,0 days 00:00:00.000000000
p61678,Fallou Diagne,0 days 00:00:00.000000000
p133633,Guido Milán,2 days 09:25:00.000000000
p39490,Milan Bisevac,1 days 10:46:00.000000000
p108988,Simon Falette,2 days 23:01:00.000000000
p12400,Franck Signorino,1 days 02:06:00.000000000
p232181,Vahid Selimovic,0 days 00:00:00.000000000
p233469,Nicolas Basin,0 days 02:00:00.000000000
p116692,Chris Philipps,0 days 04:23:00.000000000
p97624,Iván Balliu,2 days 01:08:00.000000000
p80800,Jonathan Rivierez,1 days 21:15:00.000000000
p28146,Benoit Assou-Ekotto,1 days 10:41:00.000000000
p167454,Hamza Sakhi,0 days 00:00:00.000000000
p421128,Boris Mathis,0 days 00:40:00.000000000
p158771,Janis Ikaunieks,0 days 00:00:00.000000000
p214255,Lucas Toussaint,0 days 00:00:00.000000000
p244490,Youssef Maziz,0 days 00:00:00.000000000
p44379,Yann Jouffre,0 days 19:32:00.000000000
p232182,Gauthier Hein,0 days 15:13:00.000000000
p78323,Cheick Doukouré,1 days 16:11:00.000000000
p124148,Opa Nguette,1 days 21:42:00.000000000
p43455,Georges Mandjeck,2 days 12:58:00.000000000
p225190,Vincent Thill,0 days 00:24:00.000000000
p116627,Florent Mollet,0 days 18:40:00.000000000
p232184,Alexis Larriere,0 days 00:00:00.000000000
p37743,Kévin Lejeune,0 days 08:08:00.000000000
p37765,Renaud Cohade,2 days 22:49:00.000000000
p232185,Ismaila Sarr,1 days 21:12:00.000000000
p19510,Mevlüt Erdinc,1 days 10:54:00.000000000
p111315,Thibaut Vion,0 days 15:24:00.000000000
p33103,Cheick Diabaté,0 days 00:00:00.000000000
p214254,Habib Diallo,1 days 09:53:00.000000000
p60582,Danijel Subasic,2 days 22:35:00.000000000
p7446,Morgan De Sanctis,0 days 03:02:00.000000000
